ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
China,2020-04-12T00:00:00.000Z,83597,3351,647961,103.8934731,36.51870146,China,中国,Chine,China,Китай,الصين
Republic of Korea,2020-04-12T00:00:00.000Z,10537,217,647962,127.8293439,36.36770228,Republic of Korea,大韩民国,République de Corée,República de Corea,Республика Корея,جمهورية كوريا
Japan,2020-04-12T00:00:00.000Z,7255,102,647963,137.9738703,37.53982621,Japan,日本,Japon,Japón,Япония,اليابان
Australia,2020-04-12T00:00:00.000Z,6322,61,647964,134.490976,-25.73326023,Australia,澳大利亚,Australie,Australia,Австралия,أستراليا
Malaysia,2020-04-12T00:00:00.000Z,4683,76,647965,109.7115743,3.79382045,Malaysia,马来西亚,Malaisie,Malasia,Малайзия,ماليزيا
Philippines,2020-04-12T00:00:00.000Z,4648,297,647966,122.8736074,11.74740203,Philippines,菲律宾,Philippines,Filipinas,Филиппины,الفلبين
Singapore,2020-04-12T00:00:00.000Z,2532,8,647967,103.8076536,1.35118038,Singapore,新加坡,Singapour,Singapur,Сингапур,سنغافورة
New Zealand,2020-04-12T00:00:00.000Z,1064,5,647968,171.6039713,-41.83710689,New Zealand,新西兰,Nouvelle-Zélande,Nueva Zelandia,Новая Зеландия,نيوزيلندا
Viet Nam,2020-04-12T00:00:00.000Z,262,0,647969,106.3040353,16.65160342,Viet Nam,越南,Viet Nam,Viet Nam,Вьетнам,فييت نام
Brunei Darussalam,2020-04-12T00:00:00.000Z,136,1,647970,114.7613209,4.52147838,Brunei Darussalam,文莱达鲁萨兰国,Brunéi Darussalam,Brunei Darussalam,Бруней-Даруссалам ,بروني دار السلام
Cambodia,2020-04-12T00:00:00.000Z,122,0,647971,104.9212396,12.71402994,Cambodia,柬埔寨,Cambodge,Camboya,Камбоджа,كمبوديا
Lao People's Democratic Republic,2020-04-12T00:00:00.000Z,19,0,647972,103.7634056,18.50245057,Lao People's Democratic Republic,老挝人民民主共和国,République démocratique populaire lao,República Democrática Popular Lao,Лаосская Народно-Демократическая Республика,جمهورية لاوس الديمقراطية الشعبية
Fiji,2020-04-12T00:00:00.000Z,16,0,647973,178.182,-17.855,Fiji,斐济,Fidji,Fiji,Фиджи ,فيجي
Mongolia,2020-04-12T00:00:00.000Z,16,0,647974,103.0830311,46.83520872,Mongolia,蒙古,Mongolie,Mongolia,Монголия,منغوليا
Papua New Guinea,2020-04-12T00:00:00.000Z,2,0,647975,145.2536876,-6.47589335,Papua New Guinea,巴布亚新几内亚,Papouasie-Nouvelle-Guinée,Papua Nueva Guinea,Папуа-Новая Гвинея,بابوا غينيا الجديدة
Guam,2020-04-12T00:00:00.000Z,133,5,647976,144.7758568,13.44403107,Guam,"关岛
",,,,
French Polynesia,2020-04-12T00:00:00.000Z,53,0,647977,-149.568,-17.532,French Polynesia,"法属波利尼西亚
",,,,
New Caledonia,2020-04-12T00:00:00.000Z,18,0,647978,165.6718498,-21.29461419,New Caledonia,"新喀里多尼亚
",,,,
Northern Mariana Islands (Commonwealth of the),2020-04-12T00:00:00.000Z,11,2,647979,145.5878321,16.25570464,Northern Mariana Islands (Commonwealth of the),"北马里亚纳群岛自由邦
",,,,
Spain,2020-04-12T00:00:00.000Z,161852,16353,647980,-3.64931118,40.22749596,Spain,西班牙,Espagne,España,Испания,إسبانيا
Italy,2020-04-12T00:00:00.000Z,152271,19470,647981,12.07165559,42.79119167,Italy,意大利,Italie,Italia,Италия,إيطاليا
Germany,2020-04-12T00:00:00.000Z,120479,2673,647982,10.39232967,51.11015396,Germany,德国,Allemagne,Alemania,Германия,ألمانيا
France,2020-04-12T00:00:00.000Z,92787,13814,647983,2.55042646,46.56487403,France,法国,France,Francia,Франция,فرنسا
The United Kingdom,2020-04-12T00:00:00.000Z,78995,9875,647984,-2.90049476,54.1601792,The United Kingdom,大不列颠及北爱尔兰联合王国,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Reino Unido de Gran Bretaña e Irlanda del Norte,Соединенное Королевство Великобритании и Северной Ирландии,المملكة المتحدة لبريطانيا العظمى وآيرلندا الشمالية 
Turkey,2020-04-12T00:00:00.000Z,52167,1101,647985,35.17921811,39.06061856,Turkey,土耳其,Turquie,Turquía,Турция,تركيا
Belgium,2020-04-12T00:00:00.000Z,28018,3346,647986,4.66434841,50.64295176,Belgium,比利时,Belgique,Bélgica,Бельгия,بلجيكا
