ADM0_NAME,ADM1_NAME,DateOfReport,DateOfDataEntry,new_conf,cum_conf,cum_death,EPIWeek,EPIYear,ID,VIZ_NAME,GUID,ADM1_NAME_ZH,ADM1_VIZNAME_FR,ADM1_VIZNAME_ES,ADM1_VIZNAME_RU,ADM1_VIZNAME_AR
CHINA,BEIJING,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,1,587,8,15,2020,161334,Beijing,fc58cc33-93bb-4ad7-bbc8-723b4db04797,北京市 ,Beijing,Beijing,Beijing,Beijing
CHINA,TIANJIN,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,0,180,3,15,2020,161335,Tianjin,1c20470a-9f9c-4a68-ac4c-f8aa6568d8d7,天津市 ,Tianjin,Tianjin,Tianjin,Tianjin
CHINA,HEBEI,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,0,327,6,15,2020,161336,Hebei,f3da7955-58dc-42c5-888a-98dd5a60f694,河北省 ,Hebei,Hebei,Hebei,Hebei
CHINA,SHANXI,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,0,138,0,15,2020,161337,Shanxi,cb0fac63-8857-4656-b240-f6ee9fb8ba8b,山西省 ,Shanxi,Shanxi,Shanxi,Shanxi
CHINA,INNER MONGOLIA,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,1,118,1,15,2020,161338,Inner Mongolia,608b9708-76b1-4935-b61a-a60970f48ea0,内蒙古自治区 ,Inner Mongolia,Inner Mongolia,Inner Mongolia,Inner Mongolia
CHINA,LIAONING,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,0,142,2,15,2020,161339,Liaoning,1787778c-f4b6-4a87-ae2d-47358b0189e8,辽宁省 ,Liaoning,Liaoning,Liaoning,Liaoning
CHINA,JILIN,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,0,98,1,15,2020,161340,Jilin,a67e6c87-c94a-49d0-8165-0dd3e9a93a2e,吉林省 ,Jilin,Jilin,Jilin,Jilin
CHINA,HEILONGJIANG,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,20,524,13,15,2020,161341,Heilongjiang,6353dc17-399c-453c-99fc-16580a8d1b62,黑龙江省 ,Heilongjiang,Heilongjiang,Heilongjiang,Heilongjiang
CHINA,SHANGHAI,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,5,536,6,15,2020,161342,Shanghai,8d4a512d-3513-46aa-8db2-623bd242a0fc,上海市 ,Shanghai,Shanghai,Shanghai,Shanghai
CHINA,JIANGSU,2020-04-05T00:00:00.000Z,2020-04-06T00:00:00.000Z,0,651,0,15,2020,161343,Jiangsu,59cba574-6650-4614-ab88-4c73e88b243a,江苏省 ,Jiangsu,Jiangsu,Jiangsu,Jiangsu
